
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:64351  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:64478  [2001:4860:4802:32::223]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:64706  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:64707  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:64708  [2404:6800:4007:81b::200a]:443  ESTABLISHED     34136
  UDP    0.0.0.0:3600           *:*                                    6464
  UDP    0.0.0.0:5050           *:*                                    10244
  UDP    0.0.0.0:5353           *:*                                    1172
  UDP    0.0.0.0:5353           *:*                                    3292
  UDP    0.0.0.0:5353           *:*                                    1172
  UDP    0.0.0.0:5353           *:*                                    27200
  UDP    0.0.0.0:5353           *:*                                    27200
  UDP    0.0.0.0:5355           *:*                                    3292
  UDP    0.0.0.0:56580          54.251.106.27:53                       6464
  UDP    0.0.0.0:56824          *:*                                    3292
  UDP    10.93.34.238:137       *:*                                    4
  UDP    10.93.34.238:138       *:*                                    4
  UDP    10.93.34.238:1900      *:*                                    9092
  UDP    10.93.34.238:2177      *:*                                    19468
  UDP    10.93.34.238:62808     *:*                                    9092
  UDP    127.0.0.1:1900         *:*                                    9092
  UDP    127.0.0.1:49668        127.0.0.1:49668                        5804
  UDP    127.0.0.1:62809        *:*                                    9092
  UDP    [::]:5353              *:*                                    3292
  UDP    [::]:5353              *:*                                    27200
  UDP    [::]:5353              *:*                                    1172
  UDP    [::]:5355              *:*                                    3292
  UDP    [::]:56824             *:*                                    3292
  UDP    [::1]:1900             *:*                                    9092
  UDP    [::1]:62807            *:*                                    9092
  UDP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:2177  *:*                                    19468
  UDP    [2401:4900:74e9:34c1:affc:eb4a:4d3e:e8db]:2177  *:*                                    19468
  UDP    [fe80::abbb:3f2d:5626:a969%17]:1900  *:*                                    9092
  UDP    [fe80::abbb:3f2d:5626:a969%17]:2177  *:*                                    19468
  UDP    [fe80::abbb:3f2d:5626:a969%17]:62806  *:*                                    9092
